2013-01-11T18:31:35.040+0900: 363.536: [GC 363.536: [ParNew: 331984K->3425K(368640K), 0.0013070 secs] 332229K->3670K(1187840K), 0.0013360 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2013-01-11T18:31:35.274+0900: 363.770: [GC 363.770: [ParNew: 330536K->5299K(368640K), 0.0021650 secs] 330781K->5544K(1187840K), 0.0021870 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2013-01-11T18:31:35.543+0900: 364.039: [GC 364.039: [ParNew: 329716K->6648K(368640K), 0.0026270 secs] 329962K->6893K(1187840K), 0.0026740 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2013-01-11T18:31:40.752+0900: 369.248: [GC 369.248: [ParNew: 332540K->3525K(368640K), 0.0014230 secs] 332785K->3770K(1187840K), 0.0014510 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2013-01-11T18:31:40.986+0900: 369.482: [GC 369.482: [ParNew: 327307K->5351K(368640K), 0.0047890 secs] 327553K->5596K(1187840K), 0.0048350 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
2013-01-11T18:31:41.261+0900: 369.757: [GC 369.757: [ParNew: 332469K->6698K(368640K), 0.0026880 secs] 332715K->6943K(1187840K), 0.0027210 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2013-01-11T18:31:41.544+0900: 370.040: [GC 370.040: [ParNew: 334071K->7821K(368640K), 0.0029060 secs] 334316K->8066K(1187840K), 0.0029530 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2013-01-11T18:31:46.738+0900: 375.234: [GC 375.234: [ParNew: 333476K->3874K(368640K), 0.0016580 secs] 333722K->4120K(1187840K), 0.0017110 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2013-01-11T18:31:46.982+0900: 375.478: [GC 375.478: [ParNew: 330129K->5598K(368640K), 0.0023300 secs] 330375K->5845K(1187840K), 0.0023860 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2013-01-11T18:31:47.255+0900: 375.751: [GC 375.751: [ParNew: 332248K->6898K(368640K), 0.0028160 secs] 332494K->7144K(1187840K), 0.0028740 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2013-01-11T18:31:52.535+0900: 381.031: [GC 381.031: [ParNew: 334578K->1253K(368640K), 0.0007570 secs] 334824K->1499K(1187840K), 0.0008070 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2013-01-11T18:31:52.725+0900: 381.221: [GC 381.221: [ParNew: 327700K->4224K(368640K), 0.0018190 secs] 327946K->4470K(1187840K), 0.0018710 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2013-01-11T18:31:52.972+0900: 381.468: [GC 381.468: [ParNew: 326656K->5825K(368640K), 0.0024450 secs] 326902K->6072K(1187840K), 0.0024810 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2013-01-11T18:31:53.246+0900: 381.742: [GC 381.742: [ParNew: 328368K->7073K(368640K), 0.0028490 secs] 328614K->7319K(1187840K), 0.0029080 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2013-01-11T18:31:58.508+0900: 387.004: [GC 387.005: [ParNew: 334509K->2000K(368640K), 0.0010140 secs] 334755K->2247K(1187840K), 0.0010610 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2013-01-11T18:31:58.709+0900: 387.205: [GC 387.205: [ParNew: 327829K->4499K(368640K), 0.0018950 secs] 328077K->4746K(1187840K), 0.0019660 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2013-01-11T18:31:58.961+0900: 387.457: [GC 387.457: [ParNew: 326719K->6023K(368640K), 0.0024810 secs] 326966K->6270K(1187840K), 0.0025400 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2013-01-11T18:31:59.239+0900: 387.735: [GC 387.735: [ParNew: 331489K->7248K(368640K), 0.0028930 secs] 331737K->7495K(1187840K), 0.0029200 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
2013-01-11T18:32:04.484+0900: 392.980: [GC 392.980: [ParNew: 333048K->2525K(368640K), 0.0010440 secs] 333296K->2773K(1187840K), 0.0010790 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2013-01-11T18:32:04.692+0900: 393.188: [GC 393.188: [ParNew: 326741K->4749K(368640K), 0.0020760 secs] 326989K->4997K(1187840K), 0.0021250 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2013-01-11T18:32:04.952+0900: 393.448: [GC 393.448: [ParNew: 329838K->6225K(368640K), 0.0026020 secs] 330086K->6473K(1187840K), 0.0026540 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2013-01-11T18:32:05.226+0900: 393.722: [GC 393.722: [ParNew: 326764K->7398K(368640K), 0.0029680 secs] 327012K->7646K(1187840K), 0.0029950 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
2013-01-11T18:32:10.455+0900: 398.951: [GC 398.951: [ParNew: 333962K->2951K(368640K), 0.0011920 secs] 334211K->3201K(1187840K), 0.0012270 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2013-01-11T18:32:10.675+0900: 399.171: [GC 399.171: [ParNew: 328985K->4999K(368640K), 0.0021220 secs] 329234K->5248K(1187840K), 0.0021700 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2013-01-11T18:32:10.942+0900: 399.438: [GC 399.438: [ParNew: 332058K->6423K(368640K), 0.0025890 secs] 332307K->6672K(1187840K), 0.0026420 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2013-01-11T18:32:11.221+0900: 399.717: [GC 399.717: [ParNew: 328834K->7573K(368640K), 0.0029770 secs] 329083K->7822K(1187840K), 0.0030390 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2013-01-11T18:32:16.436+0900: 404.932: [GC 404.932: [ParNew: 335023K->3351K(368640K), 0.0014120 secs] 335273K->3601K(1187840K), 0.0014800 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2013-01-11T18:32:16.668+0900: 405.164: [GC 405.164: [ParNew: 330195K->5249K(368640K), 0.0021570 secs] 330446K->5499K(1187840K), 0.0022310 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2013-01-11T18:32:16.931+0900: 405.427: [GC 405.427: [ParNew: 327041K->6600K(368640K), 0.0025760 secs] 327291K->6850K(1187840K), 0.0026400 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2013-01-11T18:32:17.211+0900: 405.707: [GC 405.707: [ParNew: 329507K->7725K(368640K), 0.0029670 secs] 329757K->7975K(1187840K), 0.0030260 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2013-01-11T18:32:22.415+0900: 410.911: [GC 410.911: [ParNew: 334541K->3674K(368640K), 0.0015050 secs] 334791K->3925K(1187840K), 0.0015350 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2013-01-11T18:32:22.652+0900: 411.148: [GC 411.148: [ParNew: 327244K->5448K(368640K), 0.0021770 secs] 327495K->5699K(1187840K), 0.0022240 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2013-01-11T18:32:22.923+0900: 411.419: [GC 411.419: [ParNew: 331212K->6773K(368640K), 0.0025870 secs] 331463K->7024K(1187840K), 0.0026490 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2013-01-11T18:32:23.201+0900: 411.697: [GC 411.697: [ParNew: 329686K->7838K(368640K), 0.0030790 secs] 329937K->8089K(1187840K), 0.0031010 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
2013-01-11T18:32:28.392+0900: 416.888: [GC 416.888: [ParNew: 333357K->3974K(368640K), 0.0016650 secs] 333608K->4226K(1187840K), 0.0016970 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2013-01-11T18:32:28.639+0900: 417.135: [GC 417.135: [ParNew: 331503K->5671K(368640K), 0.0024110 secs] 331755K->5923K(1187840K), 0.0024710 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2013-01-11T18:32:28.910+0900: 417.406: [GC 417.406: [ParNew: 329322K->6948K(368640K), 0.0027780 secs] 329574K->7200K(1187840K), 0.0028310 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2013-01-11T18:32:34.186+0900: 422.682: [GC 422.682: [ParNew: 334531K->1503K(368640K), 0.0010760 secs] 334783K->1755K(1187840K), 0.0011460 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2013-01-11T18:32:34.380+0900: 422.876: [GC 422.876: [ParNew: 326926K->4299K(368640K), 0.0018850 secs] 327178K->4551K(1187840K), 0.0019350 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2013-01-11T18:32:34.634+0900: 423.130: [GC 423.130: [ParNew: 331530K->5898K(368640K), 0.0024040 secs] 331782K->6150K(1187840K), 0.0024560 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2013-01-11T18:32:34.912+0900: 423.408: [GC 423.408: [ParNew: 332189K->7148K(368640K), 0.0029010 secs] 332441K->7400K(1187840K), 0.0029280 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
